,hex_4000km,assessed_num,ki_num,when_left_prev_lessonemonth,when_left_prev_moreonemonth,when_left_prev_NC,access_market_NC,access_market_no_access,access_market_yes_always,access_market_yes_restricted,distance_to_market_1_to_halfday,distance_to_market_30_less_1,distance_to_market_halfday,distance_to_market_more_halfday,distance_to_market_NC,distance_to_market_SL,distance_to_market_under_30,access_healthservices_NC,access_healthservices_no,access_healthservices_yes,available_health_services_mobile_clinic_NC,available_health_services_mobile_clinic_no,available_health_services_mobile_clinic_SL,available_health_services_mobile_clinic_yes,available_health_services_hospital_NC,available_health_services_hospital_no,available_health_services_hospital_SL,available_health_services_hospital_yes,available_health_services_clinic_NC,available_health_services_clinic_no,available_health_services_clinic_SL,available_health_services_clinic_yes,conflict_causes_none_NC,conflict_causes_none_no,conflict_causes_none_yes,conflict_causes_water_dispute_NC,conflict_causes_water_dispute_no,conflict_causes_water_dispute_yes,protection_incidents_none_NC,protection_incidents_none_no,protection_incidents_none_yes,surfacewater_drinking_,surfacewater_drinking_NC,surfacewater_drinking_no,surfacewater_drinking_yes,education_available_none_NC,education_available_none_no,education_available_none_yes,info_mainsource_radio_NC,info_mainsource_radio_no,info_mainsource_radio_yes,still_contact_htr_NC,still_contact_htr_no,still_contact_htr_yes,food_situation_improved,food_situation_NC,food_situation_remained_same,food_situation_SL,food_situation_worse,dam_shelters_reason_no_destroyed,dam_shelters_reason_yes_destroyed,mainsource_water_river_pond
33,O-45,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1
34,O-46,3,4,1,0,0,0,0.333333333,0,0.666666667,0.333333333,0,0,0,0.333333333,0.333333333,0,0.333333333,0.666666667,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.333333333,0.666666667,0,1,0,0,0.666666667,0.333333333,0.333333333,0,0.333333333,0.333333333,0,1,0,0,0.333333333,0.666666667,0.333333333,0,0.666666667,0,0,0,1,0,0.333333333,0.666666667,0.333333333
35,O-47,9,20,1,0,0,0.222222222,0.222222222,0.111111111,0.444444444,0,0.222222222,0,0,0.111111111,0.444444444,0.222222222,0.111111111,0.888888889,0,0,0,1,0,0,0,1,0,0,0,1,0,0.111111111,0.333333333,0.555555556,0.111111111,0.888888889,0,0,0.222222222,0.777777778,0.666666667,0.111111111,0.222222222,0,0,1,0,0.111111111,0.333333333,0.555555556,0,0.111111111,0.888888889,0,0,0,0.666666667,0.333333333,0.222222222,0.777777778,0.555555556
36,O-48,4,5,0.75,0.25,0,0.25,0.25,0,0.5,0.25,0,0,0,0,0.5,0.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0.25,0.5,0.25,0,0.75,0.25,0,0.25,0.75,0.5,0.25,0.25,0,0,1,0,0.25,0.25,0.5,0,0.25,0.75,0,0.25,0,0.5,0.25,0.75,0.25,0.5
37,O-49,3,12,0.666666667,0.333333333,0,0,0,1,0,0.333333333,0.333333333,0,0,0,0,0.333333333,0.333333333,0.333333333,0.333333333,0,0.333333333,0.666666667,0,0,0,0.666666667,0.333333333,0,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0.666666667,0.333333333,0,0.333333333,0.666666667,1,0,0,0,0,1,0,0,0,1,0,0,1,0.333333333,0,0,0.666666667,0,0.333333333,0.666666667,0.666666667
38,P-45,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
39,P-46,3,3,1,0,0,0,0.333333333,0,0.666666667,0.666666667,0,0,0,0,0.333333333,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.333333333,0.666666667,0,0.666666667,0.333333333,0,0.333333333,0.666666667,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.333333333,0.666666667,0,0.333333333,0.666666667,1
40,P-47,19,41,1,0,0,0.052631579,0.421052632,0.157894737,0.368421053,0.315789474,0.105263158,0,0,0,0.473684211,0.105263158,0,0.894736842,0.105263158,0,0.105263158,0.894736842,0,0,0.105263158,0.894736842,0,0,0.052631579,0.894736842,0.052631579,0.052631579,0.368421053,0.578947368,0,1,0,0.052631579,0.421052632,0.526315789,0.947368421,0,0.052631579,0,0,1,0,0.052631579,0.263157895,0.684210526,0,0.052631579,0.947368421,0,0,0,0.789473684,0.210526316,0.368421053,0.631578947,0.894736842
41,P-48,13,28,1,0,0,0.076923077,0.461538462,0.153846154,0.307692308,0.153846154,0.153846154,0,0,0.076923077,0.538461538,0.076923077,0,0.692307692,0.307692308,0,0.230769231,0.692307692,0.076923077,0.076923077,0.230769231,0.692307692,0,0,0.153846154,0.692307692,0.153846154,0,0.384615385,0.615384615,0,0.923076923,0.076923077,0.076923077,0.230769231,0.692307692,0.846153846,0,0.076923077,0.076923077,0,0.923076923,0.076923077,0,0.307692308,0.692307692,0.153846154,0,0.846153846,0.153846154,0,0,0.769230769,0.076923077,0.538461538,0.461538462,0.769230769
42,P-49,4,8,1,0,0,0.25,0,0.5,0.25,0.25,0,0,0,0.25,0.25,0.25,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.25,0.75,0,1,0,0,0.5,0.5,0.75,0,0.25,0,0,1,0,0,0.25,0.75,0,0,1,0,0,0,1,0,1,0,0.75
